,Warehouse Stock,Distribution Stock
246002,0,4795
246003,0,4795
246004,0,4795
246005,0,4794
314304,0,5987
314305,0,5987
314306,0,5988
314307,0,5988
314308,0,5988
314309,0,5988
314310,0,5989
314311,0,5989
314312,0,5989
314313,0,5989
314314,0,5989
314315,0,5990
314316,0,5990
314317,0,5990
314318,0,5990
314319,0,5990
314320,0,5990
314321,0,5990
314322,0,5990
314323,0,5991
314324,0,5991
314325,0,5990
314326,0,5990
314327,0,5990
314328,0,5990
314329,0,5990
314330,0,5990
314331,0,5990
314332,0,5990
314333,0,5990
314334,0,5991
314335,0,5991
314336,0,5991
314337,0,5991
314338,0,5991
314339,0,5990
314340,0,5989
314341,0,5989
314342,0,5987
314343,0,5986
314344,0,5986
314345,0,5986
314346,0,5988
314347,0,5988
314348,0,5987
314349,0,5987
314350,0,5988
314351,0,5988
314352,0,5988
314353,0,5988
314354,0,5988
314355,0,5988
314356,0,5988
314357,0,5988
314358,0,5988
314359,0,5989
314360,0,5989
314361,0,5988
314362,0,5988
314363,0,5988
314364,0,5988
314365,0,5988
314366,0,5988
314367,0,5988
314368,0,5988
314369,0,5987
314370,0,5987
314371,0,5987
314372,0,5987
314373,0,5987
314374,0,5986
314375,0,5986
314376,0,5986
314377,0,5986
314378,0,5987
314379,0,5987
314380,0,5988
314381,0,5988
314382,0,5987
314383,0,5987
314384,0,5987
314385,0,5987
314386,0,5987
314387,0,5987
314388,0,5987
314389,0,5987
314390,0,5987
314391,0,5987
314392,0,5987
314393,0,5987
314394,0,5987
314395,0,5986
314396,0,5986
314397,0,5986
314398,0,5986
314399,0,5986
314400,0,5986
314401,0,5986
314402,0,5986
314403,0,5986
